Feature,Average Importance
H3K4me3_1p,0.004542299312467932
H3K27me3_-4p,0.004513768817067578
H3K4me1_7e,0.004462112029232874
CTCF_10p,0.004449460382976534
H3K27ac_2e,0.004427245023755733
H3K4me1_3e,0.004320701777302375
H3K4me1_5p,0.004296871952633608
CTCF_-8p,0.004277503638429025
H3K4me1_-5p,0.004237942758568521
H3K27me3_-5p,0.004225900262500066
H3K27ac_-3p,0.004224820572032182
H3K4me3_0e,0.004218137393922696
H3K4me1_-2e,0.004216328322973805
DNase_-1e,0.00420783903516825
H3K27me3_-7p,0.004207815548075595
H3K27ac_-9p,0.004174690551845447
H3K27ac_-7p,0.0041544504746844615
H3K27ac_-4p,0.004095004001735528
CTCF_-4p,0.004037588322599545
H3K4me1_9e,0.004036571702710157
DNase_-3e,0.004025366647102893
H3K4me1_8e,0.003994185616627294
CTCF_0e,0.0039932546849679815
H3K27me3_2p,0.0039882662625031155
H3K27me3_-10p,0.003967041622115194
H3K27me3_5p,0.0039028979326966606
H3K27ac_9p,0.003813914840112111
H3K4me1_-3e,0.0037907489467998274
H3K27ac_3e,0.0037688457146113725
H3K4me1_-4e,0.0037664576134166976
DNase_3e,0.0037634038332054935
DNase_2e,0.003753391201090438
H3K27me3_-3p,0.003689864885335176
H3K4me1_5e,0.0036532939416027504
DNase_6e,0.0036108737111679888
H3K27me3_7p,0.0035765961408361245
DNase_4e,0.003513932419914404
H3K9me3_10p,0.0035122141992638333
H3K4me1_-8e,0.0034860154961644813
DNase_7e,0.003480902009389024
H3K4me1_10e,0.0034492172433188036
H3K27ac_-5p,0.003440725821197641
H3K27me3_10p,0.003342842964555638
H3K4me1_-5e,0.0033271543347021698
CTCF_-10p,0.0032643429609246146
H3K4me1_6e,0.003247846553437197
DNase_-2e,0.0032395157595006474
H3K4me1_-6e,0.0032354625791249157
DNase_-9e,0.003223575138774113
DNase_-8e,0.0032005687348443984
CTCF_5p,0.0031905747365198033
DNase_9e,0.0031548495394907038
H3K4me1_-7e,0.0031406418510658007
DNase_-5e,0.0031279809089765696
H3K27me3_-8p,0.0031264969586500824
H3K27ac_-8e,0.003088765748958297
H3K27me3_3p,0.003087377328831527
H3K27ac_-10p,0.003063094155600426
H3K27ac_-6p,0.0030586017405108174
H3K4me1_-9e,0.003037875487821772
H3K27me3_8p,0.0030368663001666507
H3K27ac_5p,0.003025299532395952
DNase_-10e,0.003019453520318966
H3K27me3_6p,0.0030114896264036945
H3K27ac_-2e,0.0030031756247743606
CTCF_4p,0.0029942312062040915
H3K27ac_-7e,0.0029890228257431063
H3K27me3_-2p,0.002935056220992406
H3K27me3_9p,0.002924197834480205
H3K27ac_7e,0.002904872831721962
DNase_-7e,0.002861616617322456
H3K27ac_-4e,0.0028614634228766415
H3K4me1_-10e,0.0028219702468713893
H3K27ac_7p,0.002801459946555291
H3K4me3_2p,0.002798118092943844
CTCF_3p,0.002747863916504433
H3K27ac_6p,0.002739928623133482
DNase_8e,0.0027149264438065574
H3K27me3_-9p,0.002710562017181572
CTCF_9p,0.002684342981370628
CTCF_-7p,0.0026542015716933577
H3K27me3_4p,0.002651206252516077
H3K27me3_1p,0.0026407365798205846
DNase_-6e,0.0026172069941825904
CTCF_-6p,0.0026073885219135232
H3K27ac_4p,0.0025903091014209323
H3K27ac_-3e,0.002584412569642113
CTCF_1e,0.002556039467594717
DNase_5e,0.002536367654502329
H3K27me3_-1p,0.0024990783610965898
DNase_-4e,0.0024857243885660634
H3K27ac_9e,0.002468792665219325
CTCF_-9p,0.0024190652988859817
DNase_10e,0.0024070619148152212
H3K27ac_-6e,0.0024001259593267356
H3K27ac_-5e,0.0023627491041334713
H3K4me3_-2p,0.0023458494952309015
H3K27ac_4e,0.00231863480976833
H3K4me3_3p,0.0022855134977165653
H3K27me3_-6e,0.0022273453881803177
H3K27ac_10p,0.0022241396880509348
H3K27me3_-5e,0.00216741925130297
CTCF_-2e,0.002138196527167299
CTCF_8p,0.0021217312436915313
H3K27ac_-9e,0.002097255915939296
H3K27ac_10e,0.002094948156289216
CTCF_2e,0.002083625887746077
